cluster,id,local,old_nombre,new_nombre,old_precio_venta,new_precio_venta,old_precio_costo,new_precio_costo,old_categoria,new_categoria,old_medida,new_medida,old_estado,new_estado,old_color,new_color,old_material,new_material,old_fabricante,new_fabricante,old_codigo,new_codigo,old_descripcion,new_descripcion,is_combo
45,732,Vidriera,toallero,toallero,38000.00,38000.0,0.00,0.0,baño,baño,80cm,80cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
46,183,Longchamps,toallero,toallero,26000.00,26000.0,0.00,0.0,baño,baño,40cm,40cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
46,734,Vidriera,toallero,toallero,26000.00,26000.0,0.00,0.0,baño,baño,40cm,40cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
47,721,Cane,auriculares,auriculares,29000.00,29000.0,0.00,0.0,tecnologia,tecnologia,,,Nuevo,Nuevo,,negro,,,soul,soul,,BT350,,,0
47,706,Estacion,auriculares,auriculares,27500.00,29000.0,0.00,0.0,tecnologia,tecnologia,,,Nuevo,Nuevo,negro,negro,,,soul,soul,BT350,BT350,,,0
51,102,Longchamps,colchon gold jackard sin pillow,colchon gold jackard sin pillow,410000.00,480000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,0
51,79,Estacion,colchon gold jackard sin pillow,colchon gold jackard sin pillow,410000.00,480000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,0
51,160,Longchamps,colchon gold jackard con pillow,colchon gold jackard sin pillow,480000.00,480000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,0
51,240,Vidriera,colchon gold jackard con pillow,colchon gold jackard sin pillow,480000.00,480000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,espuma,espuma,taururs,taurus,,,,,0
56,251,Longchamps,termotanque 55l,termotanque 55l,297000.00,297000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,electrico,electrico,escorial,escorial,,,,,0
